Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1587.491418
FDW14,OUT017,1424.728541
NCN55,OUT010,603.8555757
FDQ58,OUT017,2455.266267
FDY38,OUT027,5969.062603
FDH56,OUT046,1805.870834
FDL48,OUT018,587.5713289
FDC48,OUT027,2397.950465
FDN33,OUT045,1556.946919
FDA36,OUT017,3062.779603
FDT44,OUT017,1782.053872
FDQ56,OUT045,1411.662252
NCC54,OUT019,589.0732215
FDU11,OUT049,1922.927721
DRL59,OUT013,686.2565973
FDM24,OUT049,2497.887042
FDI57,OUT045,3064.729969
DRC12,OUT018,2665.188507
NCM42,OUT027,2784.427206
FDA46,OUT010,500.8926383
FDA31,OUT013,2785.214126
NCJ31,OUT035,3928.11032
FDG52,OUT046,702.3433758
NCL19,OUT019,297.5488823
FDS10,OUT035,3004.20869
FDX22,OUT010,472.4928354
NCF19,OUT035,741.3687291
NCE06,OUT046,2553.528271
DRC27,OUT046,3930.115592
FDE21,OUT035,1836.536103
NCR42,OUT019,14.84440357
FDX51,OUT018,2635.89846
NCR06,OUT018,521.298475
FDU31,OUT027,5868.448379
FDU59,OUT017,2599.753702
FDR03,OUT027,5825.361163
FDS49,OUT027,2393.64651
FDD48,OUT010,224.2353732
NCF18,OUT017,2994.18532
NCD43,OUT027,2673.057658
NCD54,OUT018,1912.477594
FDY19,OUT010,231.5919533
NCY54,OUT017,2839.751275
NCL19,OUT018,2080.057561
FDP23,OUT010,525.6016838
FDC26,OUT013,1714.978089
FDR14,OUT010,105.2589656
NCS41,OUT035,3111.174058
FDF41,OUT035,4138.282704
FDU34,OUT046,1859.553876
DRH11,OUT046,836.5122753
FDM03,OUT013,1604.333932
FDS31,OUT017,3063.000398
FDJ20,OUT017,1784.889396
FDV44,OUT027,5038.017846
FDG02,OUT049,3058.586023
FDA09,OUT013,2974.209318
FDT04,OUT013,573.1019625
FDL58,OUT019,601.1294517
FDE52,OUT045,1391.906996
FDW12,OUT035,2434.417944
FDL51,OUT017,3735.738417
NCY42,OUT027,3712.116001
FDR07,OUT017,1373.07812
FDN40,OUT045,2379.954961
FDB35,OUT027,2451.864902
FDA22,OUT017,2648.999546
NCL06,OUT046,3946.06914
FDI35,OUT013,3060.38012
NCW42,OUT045,3615.575482
NCX06,OUT049,2938.49413
FDC37,OUT027,2734.698898
FDZ14,OUT018,1639.37246
DRG49,OUT049,4228.383769
NCG06,OUT045,3822.194324
DRC36,OUT045,2784.186904
FDV21,OUT019,290.8400654
FDB53,OUT046,2340.497253
DRP47,OUT019,687.6982022
FDA14,OUT013,2295.04917
DRC24,OUT035,2435.936375
FDW21,OUT018,1432.29341
NCH29,OUT046,1571.555105
FDU58,OUT013,3017.220919
FDY27,OUT017,2869.177125
FDV56,OUT035,1694.225276
FDT59,OUT046,3837.551404
FDB23,OUT046,3743.230476
FDR49,OUT045,686.119466
FDB03,OUT010,585.2747679
FDN39,OUT045,2532.956445
FDX02,OUT027,5816.780383
FDQ16,OUT027,2725.945612
FDU35,OUT018,1443.931995
NCT29,OUT013,1816.79423
FDZ27,OUT046,735.4448371
FDN57,OUT017,2248.129794
FDA03,OUT018,2046.165676
FDZ36,OUT045,3003.191936
NCU05,OUT013,1359.312388
FDT39,OUT018,2163.278925
FDK60,OUT017,1451.86807
FDZ25,OUT017,2692.512255
FDG12,OUT046,1895.861013
DRB01,OUT019,549.0852648
NCC43,OUT027,6092.168003
FDX13,OUT019,602.573119
FDM22,OUT049,782.9990763
FDJ03,OUT027,1347.669306
FDU14,OUT018,3417.72878
FDB33,OUT010,333.5781985
FDP27,OUT046,3018.271495
FDO38,OUT010,136.1324246
FDE28,OUT027,5970.472952
FDO27,OUT035,1607.501109
DRL23,OUT027,2695.904164
FDS28,OUT046,808.7559708
FDX24,OUT013,1433.482773
FDZ02,OUT035,1594.349121
FDL46,OUT045,1721.25357
FDS60,OUT027,4840.930124
NCO06,OUT017,608.5131867
FDO16,OUT035,1486.560361
FDC60,OUT049,1504.850181
FDA48,OUT018,3292.865367
FDZ36,OUT027,5030.66213
FDK27,OUT045,1773.579758
FDW23,OUT018,556.5820244
FDM14,OUT018,1442.088102
FDM14,OUT013,1595.231352
FDW60,OUT018,2582.84278
FDE21,OUT013,1763.461298
NCM42,OUT035,1781.175115
FDY59,OUT010,163.6891485
DRI49,OUT049,1329.2216
FDT28,OUT019,304.4677977
FDQ22,OUT018,484.9974767
FDR60,OUT049,1326.839535
FDC50,OUT019,214.0716529
FDV24,OUT013,2452.77863
DRF48,OUT010,474.5876759
FDQ47,OUT046,666.4527448
DRN36,OUT049,1475.256768
NCY06,OUT035,1935.495219
FDE52,OUT035,1467.44532
NCB54,OUT045,1870.340764
NCF31,OUT035,2531.948014
FDJ08,OUT027,5020.715035
NCC07,OUT017,1597.948567
NCD19,OUT027,1392.496814
FDL46,OUT049,1792.394547
FDM20,OUT045,3840.279827
NCI06,OUT010,504.0070353
DRM11,OUT035,4166.562046
NCH07,OUT018,2224.505547
FDS23,OUT013,1931.675202
FDO49,OUT018,595.2044533
FDS35,OUT049,843.7711866
DRK39,OUT045,1382.136285
DRI39,OUT049,786.5673693
FDV04,OUT017,2506.360815
NCN14,OUT035,3035.540683
FDH08,OUT013,3870.297936
FDS20,OUT046,3011.460662
FDV40,OUT049,1323.552561
FDZ48,OUT010,193.6092654
FDS24,OUT027,2468.232656
FDK44,OUT049,2789.772052
FDS48,OUT045,2330.564062
FDK26,OUT010,482.5792787
FDD23,OUT045,3050.96764
NCH54,OUT017,2540.885158
NCP14,OUT010,249.8557862
FDM60,OUT010,18.15744546
FDV24,OUT017,2438.522565
FDH08,OUT018,3269.26873
FDS12,OUT027,3069.241349
FDR39,OUT027,4883.527571
FDP12,OUT027,1191.910796
DRF60,OUT027,6044.393896
FDC09,OUT035,1617.166167
FDF50,OUT018,2690.78319
FDG28,OUT035,4050.786081
NCE19,OUT017,800.4811757
NCM53,OUT010,174.5519233
NCN18,OUT049,1775.866902
FDF32,OUT035,3067.018275
FDF11,OUT013,3911.968246
DRI59,OUT049,3833.850564
NCG54,OUT035,2832.402256
FDM44,OUT046,1586.183579
FDT57,OUT018,3238.401459
FDV24,OUT046,2459.747912
FDI50,OUT019,588.1497315
FDS09,OUT035,802.5025852
NCC31,OUT027,3956.451789
FDQ07,OUT019,557.0446961
FDC22,OUT017,3050.998172
FDZ56,OUT046,2655.720589
FDZ40,OUT019,106.0689153
FDS46,OUT027,2978.060128
DRD24,OUT045,2172.174914
FDV45,OUT017,3029.502295
FDL26,OUT045,2334.588359
FDA56,OUT018,1654.264306
FDN27,OUT046,1647.264566
FDM20,OUT049,4035.205206
FDO16,OUT017,1447.282239
FDL03,OUT035,3053.459057
FDE58,OUT046,1781.319294
FDI02,OUT027,2886.283675
NCC55,OUT019,19.70560748
FDR03,OUT018,3199.887318
FDB14,OUT017,1380.883165
FDR45,OUT013,3862.748261
NCN07,OUT017,1855.974003
FDM51,OUT019,223.9133849
FDT52,OUT027,6055.725566
FDL26,OUT046,2363.770026
NCZ42,OUT046,3802.865235
DRI47,OUT019,304.1048985
FDW40,OUT013,2260.394487
FDN34,OUT046,2685.732195
FDS01,OUT035,2968.510747
NCG55,OUT045,1755.696716
FDC11,OUT035,1394.138117
FDX35,OUT018,3271.758803
NCB06,OUT046,2464.835354
FDR09,OUT019,599.9745559
FDC53,OUT017,1515.27753
FDY45,OUT013,3961.309812
FDA22,OUT010,436.4364055
FDE02,OUT035,1534.368326
FDW21,OUT045,1623.657745
FDV34,OUT046,1405.128925
FDS59,OUT049,1673.121286
NCW17,OUT017,1835.932131
NCK54,OUT046,1807.56887
FDG17,OUT019,583.6019331
FDG35,OUT017,2559.973962
FDD08,OUT010,0.25635316
NCO07,OUT017,3840.489083
FDJ10,OUT010,348.4461997
FDW36,OUT017,1586.572438
FDW21,OUT010,267.563665
FDY19,OUT017,1754.867778
DRE03,OUT013,639.6240824
NCC55,OUT049,660.0455956
FDH52,OUT010,77.5124758
FDO09,OUT017,3989.258449
FDU43,OUT045,3765.341108
FDX09,OUT010,471.8108476
FDH40,OUT019,172.8705404
FDW58,OUT017,1557.438559
FDC47,OUT017,3847.000672
NCR41,OUT035,1441.8809
DRG49,OUT035,4133.887488
FDC52,OUT027,3967.335019
FDY13,OUT046,1353.507672
FDY35,OUT013,626.0687982
FDI35,OUT017,3064.841257
NCU18,OUT049,2302.614775
FDY33,OUT018,2218.228618
FDC15,OUT027,3937.416809
FDU01,OUT049,3013.272112
NCU42,OUT046,2702.918796
NCV29,OUT018,2579.87408
